floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
2902240,IN,data/indian/2020/09/nodc_R2902240_208.nc,2020-09-10T17:34:00Z,2020-09-10T17:34:00Z,-1.5149,-1.5149,79.0646,79.0646,0.10,1978.40
2902241,IN,data/indian/2020/09/nodc_R2902241_206.nc,2020-09-10T17:28:00Z,2020-09-10T17:28:00Z,-5.7329,-5.7329,90.3107,90.3107,-0.10,1981.40
2902242,IN,data/indian/2020/09/nodc_R2902242_204.nc,2020-09-10T17:32:00Z,2020-09-10T17:32:00Z,-5.4501,-5.4501,87.1217,87.1217,-0.10,1975.90
2902263,IN,data/indian/2020/09/nodc_R2902263_187.nc,2020-09-10T17:26:00Z,2020-09-10T17:26:00Z,15.7548,15.7548,64.2456,64.2456,-0.10,1991.40
2902266,IN,data/indian/2020/09/nodc_R2902266_059.nc,2020-09-07T13:55:00Z,2020-09-07T13:55:00Z,11.8370,11.8370,67.4280,67.4280,1.00,1980.00
2902278,IN,data/indian/2020/09/nodc_R2902278_093.nc,2020-09-01T14:40:11Z,2020-09-01T14:40:11Z,16.7780,16.7780,92.4460,92.4460,1.00,2027.00
2902278,IN,data/indian/2020/09/nodc_R2902278_094.nc,2020-09-06T14:02:00Z,2020-09-06T14:02:00Z,16.8340,16.8340,92.5190,92.5190,1.00,2032.00
2902279,IN,data/indian/2020/09/nodc_R2902279_093.nc,2020-09-01T14:07:10Z,2020-09-01T14:07:10Z,16.8320,16.8320,92.1950,92.1950,1.00,2026.00
2902279,IN,data/indian/2020/09/nodc_R2902279_094.nc,2020-09-06T14:04:00Z,2020-09-06T14:04:00Z,16.8980,16.8980,92.1190,92.1190,1.00,2014.00
2902286,IN,data/indian/2020/09/nodc_R2902286_039.nc,2020-09-06T14:27:10Z,2020-09-06T14:27:10Z,1.1060,1.1060,83.0450,83.0450,1.00,2026.00
2902292,IN,data/indian/2020/09/nodc_R2902292_040.nc,2020-09-09T13:59:00Z,2020-09-09T13:59:00Z,-10.8940,-10.8940,84.7460,84.7460,1.00,2011.00
2902293,IN,data/indian/2020/09/nodc_R2902293_040.nc,2020-09-09T14:05:00Z,2020-09-09T14:05:00Z,-12.3780,-12.3780,80.9950,80.9950,0.00,1978.00
2902294,IN,data/indian/2020/09/nodc_R2902294_057.nc,2020-09-05T02:56:13Z,2020-09-05T02:56:13Z,7.0348,7.0348,87.0300,87.0300,8.30,1995.31
2902294,IN,data/indian/2020/09/nodc_R2902294_058.nc,2020-09-10T04:49:45Z,2020-09-10T04:49:45Z,6.9184,6.9184,87.2737,87.2737,7.85,1997.21
1902076,JA,data/indian/2020/09/nodc_R1902076_168.nc,2020-09-09T22:06:38Z,2020-09-09T22:06:38Z,-51.9980,-51.9980,87.4960,87.4960,1.90,2000.50
1902331,JA,data/indian/2020/09/nodc_R1902331_060.nc,2020-09-10T04:14:14Z,2020-09-10T04:14:14Z,-59.3610,-59.3610,64.7110,64.7110,4.30,1897.80
1902334,JA,data/indian/2020/09/nodc_R1902334_027.nc,2020-09-10T14:01:08Z,2020-09-10T14:01:08Z,-19.9560,-19.9560,67.8760,67.8760,4.30,1999.90
5905064,JA,data/indian/2020/09/nodc_R5905064_101.nc,2020-09-09T22:16:50Z,2020-09-09T22:16:50Z,-7.0270,-7.0270,87.9680,87.9680,1.50,2001.00
5905849,JA,data/indian/2020/09/nodc_R5905849_001.nc,2020-09-10T02:45:20Z,2020-09-10T02:45:20Z,-64.1490,-64.1490,142.6380,142.6380,4.70,3677.80
5905876,JA,data/indian/2020/09/nodc_R5905876_057.nc,2020-09-10T02:46:24Z,2020-09-10T02:46:24Z,-9.7200,-9.7200,112.7220,112.7220,6.60,3034.10
5905877,JA,data/indian/2020/09/nodc_R5905877_029.nc,2020-09-10T17:34:54Z,2020-09-10T17:34:54Z,-53.1730,-53.1730,113.6870,113.6870,2.40,2009.60
1901443,AO,data/indian/2020/09/nodc_R1901443_352.nc,2020-09-11T02:37:09Z,2020-09-11T02:37:09Z,-5.9630,-5.9630,73.6600,73.6600,4.40,1659.10
1901444,AO,data/indian/2020/09/nodc_R1901444_352.nc,2020-09-10T20:59:14Z,2020-09-10T20:59:14Z,-6.3010,-6.3010,100.9060,100.9060,4.60,1987.50
1901445,AO,data/indian/2020/09/nodc_R1901445_351.nc,2020-09-11T12:03:10Z,2020-09-11T12:03:10Z,-11.7620,-11.7620,96.9170,96.9170,4.50,1827.20
1901447,AO,data/indian/2020/09/nodc_R1901447_352.nc,2020-09-11T13:09:48Z,2020-09-11T13:09:48Z,-16.1270,-16.1270,66.3790,66.3790,4.80,2000.30
1901514,AO,data/indian/2020/09/nodc_R1901514_337.nc,2020-09-10T19:40:53Z,2020-09-10T19:40:53Z,1.6240,1.6240,44.6390,44.6390,0.00,0.00
1901797,AO,data/indian/2020/09/nodc_R1901797_228.nc,2020-09-09T23:10:40Z,2020-09-09T23:10:40Z,-24.0382,-24.0382,65.8565,65.8565,0.88,1129.20
1901797,AO,data/indian/2020/09/nodc_R1901797_229.nc,2020-09-11T01:43:12Z,2020-09-11T01:43:12Z,-24.0990,-24.0990,65.8286,65.8286,0.60,1883.84
1901811,AO,data/indian/2020/09/nodc_R1901811_169.nc,2020-09-01T12:52:42Z,2020-09-01T12:52:42Z,-57.1220,-57.1220,100.1837,100.1837,0.72,1001.72
1901811,AO,data/indian/2020/09/nodc_R1901811_170.nc,2020-09-11T05:43:24Z,2020-09-11T05:43:24Z,-56.7782,-56.7782,100.9269,100.9269,0.88,1005.28
1901841,AO,data/indian/2020/09/nodc_R1901841_142.nc,2020-09-01T06:40:00Z,2020-09-01T06:40:00Z,-11.3646,-11.3646,66.0224,66.0224,0.76,2007.84
1901841,AO,data/indian/2020/09/nodc_R1901841_143.nc,2020-09-11T06:53:06Z,2020-09-11T06:53:06Z,-11.7813,-11.7813,66.2616,66.2616,0.80,2003.16
1901842,AO,data/indian/2020/09/nodc_R1901842_142.nc,2020-09-01T08:07:30Z,2020-09-01T08:07:30Z,-5.9305,-5.9305,63.4675,63.4675,0.76,1995.68
1901842,AO,data/indian/2020/09/nodc_R1901842_143.nc,2020-09-11T07:53:24Z,2020-09-11T07:53:24Z,-5.6514,-5.6514,63.4484,63.4484,0.64,2007.64
1902029,AO,data/indian/2020/09/nodc_R1902029_141.nc,2020-09-01T10:21:38Z,2020-09-01T10:21:38Z,-28.1407,-28.1407,39.7511,39.7511,0.84,2005.56
1902029,AO,data/indian/2020/09/nodc_R1902029_142.nc,2020-09-11T10:08:18Z,2020-09-11T10:08:18Z,-28.0470,-28.0470,39.1512,39.1512,0.80,2005.32
1902040,AO,data/indian/2020/09/nodc_R1902040_070.nc,2020-09-01T16:46:40Z,2020-09-01T16:46:40Z,-34.5029,-34.5029,68.0849,68.0849,0.36,2003.64
1902040,AO,data/indian/2020/09/nodc_R1902040_071.nc,2020-09-11T14:45:40Z,2020-09-11T14:45:40Z,-34.4571,-34.4571,67.3485,67.3485,0.36,2001.32
1902041,AO,data/indian/2020/09/nodc_R1902041_061.nc,2020-09-01T17:07:28Z,2020-09-01T17:07:28Z,-32.3626,-32.3626,64.7345,64.7345,0.48,2001.96
1902041,AO,data/indian/2020/09/nodc_R1902041_062.nc,2020-09-11T15:23:35Z,2020-09-11T15:23:35Z,-32.6030,-32.6030,64.6130,64.6130,0.60,2003.56
1902051,AO,data/indian/2020/09/nodc_R1902051_005.nc,2020-09-01T01:14:08Z,2020-09-01T01:14:08Z,-16.2200,-16.2200,96.6921,96.6921,0.72,2005.24
1902051,AO,data/indian/2020/09/nodc_R1902051_006.nc,2020-09-10T23:17:26Z,2020-09-10T23:17:26Z,-16.2931,-16.2931,97.5183,97.5183,0.60,2009.24
1902201,AO,data/indian/2020/09/nodc_R1902201_080.nc,2020-09-01T17:08:47Z,2020-09-01T17:08:47Z,-14.2050,-14.2050,67.5100,67.5100,4.30,2004.40
1902201,AO,data/indian/2020/09/nodc_R1902201_081.nc,2020-09-11T17:58:28Z,2020-09-11T17:58:28Z,-14.8730,-14.8730,67.5190,67.5190,4.30,1989.20
1902213,AO,data/indian/2020/09/nodc_R1902213_170.nc,2020-09-01T03:11:29Z,2020-09-01T03:11:29Z,-46.6314,-46.6314,49.1717,49.1717,0.76,1787.64
1902213,AO,data/indian/2020/09/nodc_R1902213_171.nc,2020-09-06T04:30:33Z,2020-09-06T04:30:33Z,-46.6448,-46.6448,49.1224,49.1224,0.72,1990.20
1902213,AO,data/indian/2020/09/nodc_R1902213_172.nc,2020-09-11T01:48:22Z,2020-09-11T01:48:22Z,-46.5536,-46.5536,49.0408,49.0408,0.64,2004.12
1902226,AO,data/indian/2020/09/nodc_R1902226_053.nc,2020-09-01T04:28:06Z,2020-09-01T04:28:06Z,-45.8623,-45.8623,34.3471,34.3471,0.64,1792.28
1902226,AO,data/indian/2020/09/nodc_R1902226_054.nc,2020-09-11T03:10:43Z,2020-09-11T03:10:43Z,-45.9484,-45.9484,34.0107,34.0107,0.72,2007.32
1902260,AO,data/indian/2020/09/nodc_R1902260_000.nc,2020-09-01T05:33:37Z,2020-09-01T05:33:37Z,-45.0034,-45.0034,81.9977,81.9977,0.20,145.48
1902261,AO,data/indian/2020/09/nodc_R1902261_000.nc,2020-09-01T20:34:07Z,2020-09-01T20:34:07Z,-45.0148,-45.0148,84.9917,84.9917,0.48,114.04
1902263,AO,data/indian/2020/09/nodc_R1902263_000.nc,2020-09-03T02:05:57Z,2020-09-03T02:05:57Z,-43.7426,-43.7426,90.5284,90.5284,0.48,169.52
1902264,AO,data/indian/2020/09/nodc_R1902264_000.nc,2020-09-04T07:44:55Z,2020-09-04T07:44:55Z,-42.2074,-42.2074,93.5131,93.5131,0.28,161.52
1902265,AO,data/indian/2020/09/nodc_R1902265_000.nc,2020-09-05T01:05:25Z,2020-09-05T01:05:25Z,-41.1688,-41.1688,97.0038,97.0038,0.24,104.12
1902266,AO,data/indian/2020/09/nodc_R1902266_000.nc,2020-09-05T21:15:19Z,2020-09-05T21:15:19Z,-40.8539,-40.8539,100.9992,100.9992,0.20,139.12
3901831,AO,data/indian/2020/09/nodc_R3901831_101.nc,2020-09-01T01:03:16Z,2020-09-01T01:03:16Z,-46.5887,-46.5887,25.5325,25.5325,0.48,2009.16
3901831,AO,data/indian/2020/09/nodc_R3901831_102.nc,2020-09-10T22:33:54Z,2020-09-10T22:33:54Z,-46.1911,-46.1911,27.2945,27.2945,0.52,2005.16
5902380,AO,data/indian/2020/09/nodc_R5902380_227.nc,2020-09-01T17:58:24Z,2020-09-01T17:58:24Z,-25.2194,-25.2194,97.1721,97.1721,0.80,1962.04
5902380,AO,data/indian/2020/09/nodc_R5902380_228.nc,2020-09-11T12:45:24Z,2020-09-11T12:45:24Z,-25.3483,-25.3483,97.3245,97.3245,0.84,1203.84
5902480,AO,data/indian/2020/09/nodc_R5902480_146.nc,2020-09-10T20:29:08Z,2020-09-10T20:29:08Z,-38.6151,-38.6151,119.1005,119.1005,0.56,2002.12
5902488,AO,data/indian/2020/09/nodc_R5902488_143.nc,2020-09-01T06:51:59Z,2020-09-01T06:51:59Z,-15.7953,-15.7953,106.5905,106.5905,0.44,2001.24
5902488,AO,data/indian/2020/09/nodc_R5902488_144.nc,2020-09-11T06:51:28Z,2020-09-11T06:51:28Z,-15.7568,-15.7568,106.4968,106.4968,0.64,1993.40
5902498,AO,data/indian/2020/09/nodc_R5902498_140.nc,2020-09-01T08:08:50Z,2020-09-01T08:08:50Z,-41.7530,-41.7530,118.4450,118.4450,0.84,2007.36
5902498,AO,data/indian/2020/09/nodc_R5902498_141.nc,2020-09-11T08:15:00Z,2020-09-11T08:15:00Z,-41.8302,-41.8302,118.1985,118.1985,0.84,2003.60
5902499,AO,data/indian/2020/09/nodc_R5902499_141.nc,2020-09-10T20:58:43Z,2020-09-10T20:58:43Z,-47.7938,-47.7938,137.6550,137.6550,0.44,1999.72
5904410,AO,data/indian/2020/09/nodc_R5904410_209.nc,2020-09-01T02:02:09Z,2020-09-01T02:02:09Z,-28.0780,-28.0780,44.3550,44.3550,0.40,1897.90
5904410,AO,data/indian/2020/09/nodc_R5904410_210.nc,2020-09-11T05:55:14Z,2020-09-11T05:55:14Z,-27.9730,-27.9730,44.4220,44.4220,0.20,1900.30
5904418,AO,data/indian/2020/09/nodc_R5904418_208.nc,2020-09-01T09:28:51Z,2020-09-01T09:28:51Z,-36.6860,-36.6860,135.7330,135.7330,0.00,1949.60
5904418,AO,data/indian/2020/09/nodc_R5904418_209.nc,2020-09-11T13:01:36Z,2020-09-11T13:01:36Z,-36.2190,-36.2190,135.6110,135.6110,0.20,1799.70
5904429,AO,data/indian/2020/09/nodc_R5904429_212.nc,2020-09-08T01:25:36Z,2020-09-08T01:25:36Z,-27.0190,-27.0190,100.1340,100.1340,0.30,1848.70
5904452,AO,data/indian/2020/09/nodc_R5904452_212.nc,2020-09-01T03:52:59Z,2020-09-01T03:52:59Z,-31.1000,-31.1000,105.8470,105.8470,-0.40,1849.90
